,date,category,article title,compound score
0,01/12/2017, Finance ,"Stocks Slide on Wall Street After Michael Flynn’s Guilty Plea in Trump-Russia Investigation, Term Sheet — Friday, December 1",-0.4215
2,04/12/2017, Finance ,"Calm Down. Cryptocurrency Is Still a Microscopic Asset in the Financial Market, Could Israel Become a Hub for Bitcoin and Other Cryptocurrency?, Winklevoss Twins Used Facebook Payout to Become Bitcoin Billionaires, Term Sheet — Monday December 4, 21st Century Fox Restarts Talks to Sell Most of the Company to Disney",0.5859
7,05/12/2017, Finance ,"Why Wall Street Is Skeptical of the CVS-Aetna Deal, Bitcoin Futures Are Coming and Regulators Are Racing to Catch Up, Term Sheet — Tuesday December 5, Robert Mueller Wants to Know About Deutsche Bank’s Relationship With Donald Trump",-0.3182
11,06/12/2017, Finance ,"Bitcoin Is Such a Frenzy in South Korea That It Costs More There, Bitcoin Is Still a ‘Joke,’ These Finance Giants Say, Why HSBC CEO Stuart Gulliver Isn’t Afraid of Fintech, Term Sheet — Wednesday December 6, Apple Could See Nearly $47 Billion in Benefits From the Republican Tax Reform, Bitcoin Surges Above $12,000 For the First Time",0.0772
17,07/12/2017, Finance ,"This Is the Real Reason the Stock Market Needs Activist Investors, Morgan Stanley Fires Ex-Congressman Ford After Misconduct Probe, Goldman, BlackRock, Blackstone Vie to Keep Wall Street Crowns, President Trump’s Middle-Class Tax Pledges Go Unfulfilled in Senate Bill, Term Sheet — Thursday December 7, Why China’s GDP Growth Rate Tells Us Nothing About Its Economy, 4 Best Tech Stocks to Buy for 2018—Instead of Buying Bitcoin, Investing: How the World’s Biggest Money Manager Is Preparing for 2018, The 5 Best Emerging Markets Stocks for 2018: How to Buy the Amazon and Google of China, Why the World’s Biggest Money Manager Thinks Inflation Is Back, Here’s What the World’s Biggest Money Manager Thinks Stocks Will Do Next Year, The 6 Best Stocks to Buy for 2018 Before Robots Take Your Job, The Best Investing Advice for 2018 From Fortune’s Experts, Here’s What the World’s Biggest Money Manager Is Worrying About for 2018, How Fortune’s Best Stocks Crushed the Market in 2017, The 4 Best Biotech and Health Care Stocks to Buy for 2018, The 5 Best Fintech Stocks to Buy for 2018, Inside Elliott Management: How Paul Singer’s Hedge Fund Always Wins, How We Picked Our Best Stocks for 2018, Corporate Profits Are Soaring. Here’s Why It Can’t Last, Why McDonald’s Is One of the 3 Best E-commerce Stocks to Buy for 2018, Why It’s Time for a Stock Market Sobriety Check, All-Tech Investing: The 31 Best Stocks to Buy for 2018 Instead of Apple or Tesla",0.9943
40,08/12/2017, Finance ,"Term Sheet — Friday, December 8, Goldman Sachs Has Practically Vanished from Hong Kong’s IPO Scene",0.0
42,09/12/2017, Finance ,Bitcoin Futures Trading Brings Crypto Into Mainstream Finance,0.0
43,10/12/2017, Finance ,Bitcoin Futures Launch to a Dramatic Start,0.0
44,11/12/2017, Finance ,"Bitcoin Futures Started So Hot That Trading Had to Be Halted Twice, Carl Icahn Will Nominate Four Directors to Xerox Board, Term Sheet — Monday, December 11, An 82-Year-Old VC Makes a Splash With Young Startups",0.0
48,12/12/2017, Finance ,"Bitcoin Began With Men. But Women May Be Cryptocurrency’s Future, ‘Speculative Mania.’ Bitcoin Is More Likely to Appeal to Criminals Than Consumers, RBA Governor Says, Hedge Funds Flock to Broker That Embraced Bitcoin Futures Early, Bitcoin Short Shortage Keeps Crypto Futures Wobbling Above Spot, Winklevoss Twins Say Futures Are Just the Beginning for Bitcoin, Bitcoin ‘Sect’ Stuns Online Broker With 50-Fold Jump, Term Sheet — Tuesday, December 12, Why Your Retirement Plans Need a Reality Check",-0.8126
56,13/12/2017, Finance ,"The Disney Deal Is Set to Value Fox at More Than $75 Billion, ‘Highly Speculative Asset.’ The Fed Chair Just Issued a Stark Warning About Bitcoin, Liberty Tax Founder John Hewitt Faces Ouster Amid Sex Scandal Allegations, Term Sheet — Wednesday, December 13, How ‘Impact Investing’ Can Put a Profitable Spin on Charity, Why Consulting Can Be Better Than Retiring, How to Invest for a 40-Year Retirement",0.8591
63,14/12/2017, Finance ,"This Couple Invested in Bitcoin at $800. Now It’s $17,000 and They’re Donating Everything to a Cancer Hospital, Why Bitcoin is Surging in the Countries Trying Hardest to Stop It, Term Sheet — Friday, December 14, First Came Bitcoin. Then Came Bitcoin Lenders, How Schwab Got Robots to Play Nice With Humans, Kickstarter Says It Won’t Follow Indiegogo Into ICOs",-0.34
69,15/12/2017, Finance ,"P&G Appoints Activist Investor Nelson Peltz to Board Following Proxy Battle, Final Republican Tax Bill Slashes Corporate Rate, Term Sheet — Friday, December 15, A Goldman Sachs Selfie Just Made Twitter $1.2 Billion Bigger, Disney CEO Bob Iger Will See a Massive Payday if the Fox Deal Goes Through, ‘Be Prepared to Lose Your Money.’ A British Regulator Has a Warning for Bitcoin Buyers",-0.765
75,16/12/2017, Finance ,How Individual Taxpayers Can Exploit the New Tax Bill Right Now,-0.1027
76,17/12/2017, Finance ,Bitcoin Is Now Trading on the World’s Largest Futures Exchange,0.0
77,18/12/2017, Finance ,"The Stock Market Again Closed at New Record Highs on Monday, Term Sheet — Monday, December 18, Here’s Why Hershey Just Spent Almost $1 Billion on Popcorn, Ikea Is the Latest Multinational Being Investigated for Avoiding EU Taxes, Taxpayers are Scrambling to Claim Deductions While They Still Can",-0.34
82,19/12/2017, Finance ,"Cryptocurrency CEO Warns 1,000% Stock Rise Is ‘Not a Reality’ As Bitcoin Mania Takes Hold, Term Sheet — Tuesday, December 19, The EU’s Brexit Negotiator Is Practicing His Grinch Routine, Wells Fargo Names Mary Mack Head of Consumer Lending, Airbnb Apartment Complexes Could Soon be Coming to the U.S.—Thanks to a $200 Million Investment, A Feud Between Boeing and Bombardier is Casting a Spotlight on U.S.-Canadian Trade Deals, Warren Buffett’s Berkshire Hathaway Hit a Record of $300,000 a Share",0.1027
89,20/12/2017, Finance ,"Online Brokerage E*Trade Is Now Letting Its Customers Trade Cboe Bitcoin Futures, Chipotle Stock Plunges After Reports of Vomiting Employees at L.A. Restaurant, Trump’s Chief Economic Adviser Gary Cohn Says This Is Why He Won’t Buy Bitcoin, Term Sheet — Wednesday, December 20, The U.K. Will Make Concessions to EU Banks to Keep Them in London After Brexit",0.0
94,21/12/2017, Finance ,"This Iced Tea Company Pivoted to Blockchain. Now its Stock is Up 200%, Term Sheet — Thursday, December 21, Emerging Markets: Why India Stocks Could Be Big Winners in 2018, 3 Retail Stocks That Amazon Won’t Crush",0.4939
98,22/12/2017, Finance ,"Why Successful Entrepreneurs Choose Startups Over Stocks, Term Sheet — Friday, December 22, Lawmakers Want to Probe Who Owns HNA Group, the Chinese Giant Taking Over U.S. Companies, Roche to Buy U.S. Cancer Drugmaker Ignyta for $1.7 Billion, Bitcoin Price Drops Below $14,000 as Cryptocurrency Competition Heats Up, Real Estate Developer Woodbridge Is Being Sued Over a $1.2 Billion Ponzi Scheme that Defrauded the Elderly",-0.0772
104,26/12/2017, Finance ,"Crypto Stocks Rally as Bitcoin Bounces Back Above $15,000",0.0
105,27/12/2017, Finance ,"Hundreds of People Are Standing in Line to Prepay Property Taxes. It Might Be For Nothing, Kanye West Gives Kim Kardashian West Hundreds of Thousands of Dollars Worth of Stock in Five Major Companies",0.2263
107,28/12/2017, Finance ,"U.S. Renters Paid a Record High $485.6 Billion in 2017: Zillow, 2017 Was a Robust Year for the U.S. Housing Market, Zillow Says, The U.S. Inflation Mystery Made Economists Look Bad in 2017, Will the Stock Market Crash in 2018? Here’s What Wall Street Predicts, From Bitcoin to Belize, Here Are Best and Worst Assets of 2017, Citigroup Fined for Telling Clients to Buy When It Meant Sell, As Bitcoin Sinks, So Do Stocks With Ties to Cryptocurrencies, 3 Strategies for Cutting a High State Tax Bill, Jobless Claims Hold Steady, Signaling Solid U.S. Labor Market, Banks Offer Cash-Strapped Clients a Way to Game Trump’s Tax Plan, Everything You Need to Know About Global Markets in 2018",-0.4404
118,29/12/2017, Finance ,"IRS Issues Tax Rate Guidance for Stockpiled Foreign Income, Goldman Sachs Is Taking a $5 Billion Hit From the Republican Tax Bill",0.0
120,30/12/2017, Finance ,"Goldman Sachs Sends Up a Warning Flag About Cryptocurrencies in 2018, Peculiar Year for Markets Defied Almost Everyone’s Expectations",-0.2023
122,31/12/2017, Finance ,The 10 Biggest Business Scandals of 2017,-0.4939
123,02/01/2018, Finance ,"Marijuana Stocks Soar As California Legalizes Recreational Pot, Why Bitcoin Is Losing Its Luster Among Criminals, Term Sheet — Tuesday, January 2",-0.743
126,03/01/2018, Finance ,"Weight Watchers Teams Up With DJ Khaled, And Oprah Gets $26 Million Richer, Bitcoin’s ‘Altcoin’ Cryptocurrency Rivals Are Finally Catching Up, Term Sheet — Wednesday, January 3",0.5267
129,04/01/2018, Finance ,"Here’s The Dow Jones Stocks You Should’ve Invested In After Trump’s Election, Dow Jones Surpasses 25,000 for the First Time as Stocks Rally Despite Winter Storm, Term Sheet — Thursday, January 4",0.0
132,05/01/2018, Finance ,"Tech Stocks Soared In 2017. That Could Hurt You In 2018, Why the Hedge Funder Who Predicted the Recession Is Worried About the Record Stock Market, Donald Trump Tweets That Stock Market Rises Fastest 1,000 in History. Here’s What History Says., Capital One CEO Richard Fairbank Just Became a Billionaire, The Owner of Corona Beer Just Made a Bet on Legal Marijuana, Term Sheet — Friday, January 5",-0.7845
138,07/01/2018, Finance ,U.S. Biotech Firm Celgene to Buy Impact Biomedicines for up to $7 Billion,0.0
139,08/01/2018, Finance ,"Alibaba Founder Jack Ma Says He’s Reconsidering a Stock Listing in Hong Kong, Jeff Bezos Is Now Worth More Than $105 Billion, Warren Buffett’s Berkshire Hathaway Could Make $37 Billion from Trump’s Tax Cut, Term Sheet — Monday, January 8, China’s Richest Woman Just Made $2 Billion in Four Days",0.4939
144,09/01/2018, Finance ,"Wall Street Bulls Say Stocks Look Cheap. Don’t Be Fooled, Credit Card Debt Hits Highest Levels Since the 2008 Housing Crisis, Term Sheet — Tuesday, January 9",-0.765
147,10/01/2018, Finance ,"Warren Buffett: Tax Cut Will Make Companies More Valuable, Companies’ Stocks Are Skyrocketing When They Pivot to Blockchain. Now Traders Are Getting Rich Off That, Term Sheet — Wednesday, January 10",0.7089
150,11/01/2018, Finance ,"Term Sheet — Thursday, January 11, Struggling Xerox Is Reportedly in Deal Talks With Japan’s Fujifilm",-0.4215
152,12/01/2018, Finance ,"Term Sheet — Friday, January 12, Fiat Chrysler Is the Latest Company to Give Workers a Big Bonus After U.S. Tax Reform",0.5423
154,13/01/2018, Finance ,"Taking Clients to Ballgames Will Cost You More Under New Tax Laws, This Country Is Warning Against ‘Risky and Inherently Speculative’ Cryptocurrencies",-0.34
156,15/01/2018, Finance ,SoftBank Flirts With Wireless Unit IPO that Could Be Japan’s Biggest in Two Decades,0.1779
157,16/01/2018, Finance ,"Why Wall Street Is Ignoring “CAPE” Fear, Term Sheet — Tuesday, January 16, GE Shares Dive on $6.2 Billion Charge for Problems in Its Finance Unit, The Energizer Bunny Is Buying Rayovac in a $2 Billion Deal",-0.5106
161,17/01/2018, Finance ,"South Korea Is Considering Shutting Down all Virtual Currency Exchanges, After a Terrible Start to 2018, Bitcoin Rebounds Above $11,000, Goldman Sachs Posts Its First Quarterly Loss in 6 Years Thanks to Trump’s Tax Bill, A Goldman Sachs Executive Was Robbed of $1.2 Million Worth of Wine, Apple Is Paying $38 Billion to Bring Cash Back to the U.S. Because of the Tax Overhaul, Did Bitcoin Just Burst? How It Compares to History’s Big Bubbles, This Central Bank Has the Worst Track Record for Predicting Inflation, Term Sheet — Wednesday, January 17, This Was the Single Most Complained-About Company of 2017",-0.6908
170,18/01/2018, Finance ,"Apple Leads These Companies With Massive Overseas Cash Repatriation Tax Bills, Term Sheet — Thursday, January 18, Bitcoin Roller-Coasters Back Above $11,000 After a Frantic 24 Hours, China’s Economic Growth Last Year Was Even Better Than Expected",0.3818
174,19/01/2018, Finance ,"Everything We Know About Donald Trump’s Proposed Border Wall, How Will a Government Shutdown Impact the U.S. Economy? Here’s What the Analysts Say, Term Sheet — Friday, January 19, Why Sony and Nintendo Stocks Could Rack Up Higher Scores",0.0
178,22/01/2018, Finance ,"How Bank of America Can Catch J.P. Morgan, CEO Optimism in the World Economy Has Reached a Record High, Term Sheet — Monday, January 22",0.5994
181,23/01/2018, Finance ,"How Tesla’s Elon Musk Could Become the World’s Richest Person Without Ever Getting a Paycheck, Pointing to Trump Tax Cuts, J.P. Morgan Chase to Add 4,000 Jobs in the U.S., Bitcoin Forking Madness Could Result in 50 Splits This Year, Term Sheet — Tuesday, January 23",-0.1779
185,24/01/2018, Finance ,"Meet Jerome Powell, One of the Most Powerful U.S. Leaders After President Donald Trump, Here’s What You Should Know About That Survey Saying 1 in 6 Millennials Has $100K in Savings, Term Sheet — Wednesday, January 24, Thousands of Starbucks Employees Are Getting Raises After GOP Tax Cuts, Disney Is the Latest Company to Give Cash Bonuses to Employees Following Tax Reform, UBS Chairman Warns of ‘Massive’ Potential Drop in Bitcoin",0.4576
191,25/01/2018, Finance ,"U.S. Dollar Bounces as Trump Goes Back on Treasury Secretary Mnuchin’s Comments, Here’s One Major Sign That Markets Can Run Even Higher, According to the Head of the World’s Biggest Money Manager, Term Sheet — Thursday, January 25",0.2023
194,26/01/2018, Finance ,"Term Sheet — Friday, January 26",0.0
195,28/01/2018, Finance ,‘Jackpotting’ Targets U.S. ATMs to Make Them Spit Out Cash,0.0
196,29/01/2018, Finance ,"Wynn Resorts Loses $3.5 Billion After Sexual Harassment Allegations Surface About Steve Wynn, A Court Is Going to Decide Whether the Government Can Regulate Bitcoin Like Stocks, Term Sheet — Monday, January 29",-0.5106
199,30/01/2018, Finance ,"J.P. Morgan’s Jamie Dimon Is Most Likely Not Running Against Trump in 2020, How Tax Reform Makes Goldman Sachs a Winner—and a Loser, Term Sheet — Tuesday, January 30, Stocks Are Dropping for a Second Day After Rising for So Long. What You Need to Know",-0.5267
203,31/01/2018, Finance ,"Is Trump’s Antitrust Policy Pro-U.S. Business? A New FTC Action Casts Doubt, You Can Thank Boeing and Corporate Tax Cuts for 94% of the Dow’s Rise Today, How to Steal $500 Million in Cryptocurrency, Term Sheet — Wednesday, January 31, Fujifilm Is Taking Over Xerox in a $6.1 Billion Deal",-0.6597
208,01/02/2018, Finance ,"A New Lawsuit Claims Morgan Stanley Still Discriminates Based on Race, Term Sheet — Thursday, February 1",-0.2263
210,02/02/2018, Finance ,"Janet Yellen’s Last Act at the Federal Reserve: Punishing Wells Fargo, Forecast of Double-Digit Stock Returns Deserves the Right Name: Fantasyland, Here Are the Signs the Bitcoin Bubble Is About to Burst, Term Sheet — Friday, February 2, Wall Street Increases Amazon Targets as Shares Pop After Results, Why UPS Is Buying 14 More 747s",0.0772
216,03/02/2018, Finance ,"Bitcoin Newbies Are Getting Crushed, What to Expect From Federal Reserve Chair Jerome Powell’s Tenure",-0.4215
218,04/02/2018, Finance ,"Why Stock Market Investors Should Root For a High-Scoring Super Bowl, Outgoing Fed Chair Janet Yellen Says Prices High for U.S. Stocks and Real Estate",0.7269
220,05/02/2018, Finance ,"Trump’s White House Is Worried About the Stock Market. Should You Be?, ‘It Was Excessive Confidence.’ Dow Jones Industrial Average Plunges 1,100 in Biggest One-Day Selloff Ever, Here’s the Logic Behind a Private Equity Billionaire’s Dramatic Stock Prediction, Why Blackstone Billionaire Tony James Expects Stocks to Drop 20% This Year, Will Companies Compete Away the Tax Cut’s Bounty?, Term Sheet — Monday, February 5",-0.5661
226,06/02/2018, Finance ,"What Investors Can Expect After the Biggest One-Day Selloff in History, These Companies Were Hit Hardest by the Big Selloff, ‘These Are the Rumblings.’ Carl Icahn Warns the Stock Market Will Implode, This 24-Year-Old Made Millions in Bitcoin and Quit His Job. Here’s How He Did It, Fake KodakCoin Is Already Being Sold by Scammers, See Traders React to the Dow’s Biggest One-Day Drop in History, As Markets Plunge and Volatility Surges, This Stock Is Soaring, Wall Street Opens Down a Day After Biggest Decline Since 2011, Term Sheet — Tuesday, February 6, Stock Market Is Set to Plunge Again At Open, European Markets Continue Slide Following Asia and U.S. Sell-Offs",-0.6808
237,07/02/2018, Finance ,"Wall Street’s Hottest VIX Trades Burn Amateur Investors, People Are Going Into Debt to Buy Bitcoin, Steve Wynn Could Resign With a $300 Million Bonus",-0.1027
240,08/02/2018, Finance ,"What Drove Stocks Into Correction Territory, According to Investors, No, The Stock Market Isn’t Crashing. But The Dow Is in Correction Territory, Cryptocurrency Critic Says He’s Worried About His Safety, Term Sheet — Thursday, February 8, The Next Warren Buffett? Larry Fink’s Latest BlackRock Venture Mimics Berkshire Hathaway",-0.1901
245,09/02/2018, Finance ,"Global Markets Shed $5.2 Trillion During the Dow’s Stock Market Correction, Bitcoin Would Dominate in a ‘Dystopian World Without Trust,’ Economist Says, Jeff Bezos, Warren Buffett, and Larry Ellison Have Lost a Combined $19 Billion in the Past Week, Term Sheet — Friday, February 9, Why America’s About to Pivot from Cheering the Economy to Fearing the Debt, A Week of Investor Whiplash: What’s Behind the Stock Market’s Volatility",-0.6908
251,10/02/2018, Finance ,"VIX Surge Hands 8,600% Profit to Little-Known Hedge Fund, The U.S. Junk-Bond Market Just Had Its Worst Week in 2 Years, What Are Backwardation and Contango? Here’s What You Should Know",-0.296
254,11/02/2018, Finance ,The Equifax Hack Exposed More Data Than Previously Reported,-0.0772
255,12/02/2018, Finance ,"Term Sheet — Monday, February 12",0.0
256,13/02/2018, Finance ,"JPMorgan Chase Is Taking Its Fund for Minority-Owned Businesses to Two More Cities, Term Sheet — Tuesday, February 13",0.0
258,14/02/2018, Finance ,"Coinbase Releases Tool for Merchants to Accept Cryptocurrencies, Bitcoin Is a ‘Noxious Poison,’ Billionaire Says, What’s Really Worrying About the Inflation Fears That Hit the Stock Market, Danone to Sell Stake in Japan’s Yakult for $1.8 Billion, Here’s What 1999 Warren Buffett Might Say About the 2018 Stock Market, Term Sheet — Wednesday, February 14",-0.4391
264,15/02/2018, Finance ,"Trump ‘Strongly’ Favors Imposing Online Sales Tax, Mnuchin Says, Bitcoin ‘Scam’ Triggers Police Search Across Europe, Healthcare Prices to Outpace Inflation for the First Time Since 2010, Term Sheet — Thursday, February 15, Amazon Is Now More Valuable Than Microsoft and Only 2 Other Companies Are Worth More, Teva Is Drowning in Debt and Firing Thousands of Employees. Now Warren Buffett Is Interested, Cisco’s Plan to Bring $67 Billion Back to the U.S. Could Be a Major Windfall for Its Investors",0.659
271,16/02/2018, Finance ,"Can America’s Economy Keep Up With Its Debt?, Term Sheet — Friday, February 16, New Tax Cuts Will Save Billions. But for Whom?, The SEC Just Blocked the Chinese Takeover of a U.S. Stock Exchange",-0.504
275,17/02/2018, Finance ,"This Is Warren Buffett’s Top Equity Holding, Surpassing Wells Fargo",0.4215
276,19/02/2018, Finance ,"Sweden’s Mission to Go Cashless May Have Gone Too Far, ‘Uncharted Territory:’ Goldman Sachs Issues Dire Warning About Federal Spending, Noble Group Warns Losses May Near $5 Billion as It Pursues a Deal",-0.6705
279,20/02/2018, Finance ,"Kate Upton’s Sexual Harassment Allegations Are Costing This Exec Millions of Dollars, Sprint Is Selling $1 Billion in Junk Bonds to Upgrade Its Network, The Happiest People on Earth Are Spending More Money Than They Have in Years, This $42 Billion Fund Manager Says the Selloff Hit the Wrong Stocks, Term Sheet — Tuesday, February 20",-0.34
284,21/02/2018, Finance ,"Donald Trump Might Be Cheering Low Unemployment, But Here’s Why Businesses Aren’t, JPMorgan Unveils Its Plans for New Manhattan Headquarters, Term Sheet — Wednesday, February 21",-0.09
287,22/02/2018, Finance ,"Guns and More Guns: Will Wall Street Ever Let Go of Firearms?, This Is the Price of Admission to Get Into the 1%, Teacher Pension Funds in 12 States Are Invested in Gun Stocks, Term Sheet — Thursday, February 22, Why Apple’s Tim Cook Is No Fan of the Quarterly Earnings Report, Here Are the 26 Big U.S. Companies With the Most Cash Stashed Overseas",-0.5207
293,23/02/2018, Finance ,"Why the Chinese Government Now Controls an Iconic New York City Hotel, Term Sheet — Friday, February 23, General Mills Is Buying Blue Buffalo Pet Food for $8 Billion, Companies Are Starting to Back Away From the Gun Industry and NRA",-0.34
297,24/02/2018, Finance ,"Warren Buffett Is on the Hunt for a ‘Huge’ Acquisition, Warren Buffett Warns That Safe-Looking Bonds Can Be Risky, How Berkshire Hathaway Gained $29 Billion from the New Tax Law, Citigroup Is Refunding $335 Million to Credit Card Customers",0.4588
301,26/02/2018, Finance ,"Crypto Legend Who Bought Pizza With 10,000 Bitcoin Is Back At It, Self-Proclaimed Inventor of Bitcoin Accused of Swindling $5 Billion in Cryptocurrency, Bitcoin Is Giving Divorcing Couples Something New to Fight About, Term Sheet — Monday, February 26, Weinstein Co. to File for Bankruptcy After Deal Collapses",-0.765
306,27/02/2018, Finance ,"Goldman Sachs Said to Be Weighing $1.4 Billion Sale of London Headquarters, Why Millennials Are Ditching Credit Cards, Fed Chair Sees Gradual Rate Hikes Amid Strong U.S. Growth Outlook, Term Sheet — Tuesday, February 27, 8 Executives Reveal How They Woo Clients",0.891
311,28/02/2018, Finance ,"Ackman Calls It Quits on Herbalife as Pershing Square Restructures, Bill Ackman Is Said to Cede Herbalife Fight, Ending 5-Year Saga, Spotify Finally Filed for an IPO, Bain’s Head of Private Equity Says Donald Trump’s Tax Plan Will Be a Positive for the Industry",0.25
315,01/03/2018, Finance ,"Another 2.4 Million Equifax Customers Are About to Find Out Their Identities Were Stolen in Hack, This Tool Will Tell You If You Should Change Your Tax Withholding, 6 Takeaways From Spotify’s Unusual IPO Filing, Term Sheet — Thursday, March 1",-0.4939
