date,WSJ,Fortune,CNBC
01/12/2017,-0.0082,-0.4215,-0.8126
02/12/2017,-0.676,0.0,0.0
03/12/2017,-0.8658,0.0,0.0
04/12/2017,0.7993,0.5859,0.4767
05/12/2017,-0.7342,-0.3182,-0.6597
06/12/2017,-0.4956,0.0772,0.2732
07/12/2017,0.3612,0.9943,0.4019
08/12/2017,-0.9655,0.0,0.0
09/12/2017,-0.9764,0.0,0.34
10/12/2017,-0.6361,0.0,0.0
11/12/2017,-0.2937,0.0,-0.6258
12/12/2017,-0.991,-0.8126,0.5994
13/12/2017,-0.6705,0.8591,0.7717
14/12/2017,0.8797,-0.34,0.4215
15/12/2017,-0.7935,-0.765,0.5267
16/12/2017,-0.5559,-0.1027,0.0
17/12/2017,-0.8248,0.0,0.0
18/12/2017,-0.7506,-0.34,0.2582
19/12/2017,-0.9581,0.1027,-0.7814
20/12/2017,-0.8277,0.0,0.795
21/12/2017,0.2263,0.4939,0.5994
22/12/2017,0.9226,-0.0772,0.6444
23/12/2017,0.2846,0.0,0.0
24/12/2017,-0.8201,0.0,0.0
25/12/2017,0.8422,0.0,0.0
26/12/2017,-0.9109,0.0,-0.7096
27/12/2017,0.25,0.2263,0.802
28/12/2017,0.9472,-0.4404,0.128
29/12/2017,-0.9806,0.0,0.6597
30/12/2017,-0.6597,-0.2023,0.0
31/12/2017,-0.25,-0.4939,0.0
01/01/2018,-0.7161,0.0,-0.128
02/01/2018,0.7458,-0.743,-0.1779
03/01/2018,-0.981,0.5267,0.6597
04/01/2018,0.1119,0.0,0.8271
05/01/2018,-0.9946,-0.7845,-0.128
06/01/2018,0.9716,0.0,0.0
07/01/2018,0.8402,0.0,0.0
08/01/2018,0.0516,0.4939,0.1154
09/01/2018,0.8481,-0.765,0.0
10/01/2018,0.3612,0.7089,0.0857
11/01/2018,-0.8625,-0.4215,-0.8834
12/01/2018,-0.7319,0.5423,0.8839
13/01/2018,0.9813,-0.34,0.0
14/01/2018,-0.5709,0.0,0.0
15/01/2018,-0.9775,0.1779,-0.6258
16/01/2018,-0.9388,-0.5106,0.7615
17/01/2018,0.8979,-0.6908,-0.8238
18/01/2018,-0.9902,0.3818,0.5851
19/01/2018,-0.9638,0.0,0.8834
20/01/2018,-0.9864,0.0,0.0
21/01/2018,-0.8625,0.0,0.0
22/01/2018,-0.9891,0.5994,0.5719
23/01/2018,0.7184,-0.1779,0.5413
24/01/2018,0.9734,0.4576,-0.25
25/01/2018,0.9908,0.2023,0.0026
26/01/2018,0.9396,0.0,0.1531
27/01/2018,-0.9744,0.0,0.0
28/01/2018,-0.9756,0.0,-0.4019
29/01/2018,0.6373,-0.5106,-0.8902
30/01/2018,0.9892,-0.5267,-0.7902
31/01/2018,-0.6072,-0.6597,0.1531
01/02/2018,0.9791,-0.2263,0.296
02/02/2018,0.6705,0.0772,-0.7572
03/02/2018,0.5859,-0.4215,0.0
04/02/2018,-0.3182,0.7269,0.0
05/02/2018,0.3612,-0.5661,0.5374
06/02/2018,-0.9604,-0.6808,0.8813
07/02/2018,0.9815,-0.1027,0.0476
08/02/2018,0.9918,-0.1901,0.6843
09/02/2018,-0.975,-0.6908,-0.9061
10/02/2018,-0.9869,-0.296,-0.6249
11/02/2018,-0.875,-0.0772,0.2263
12/02/2018,-0.8271,0.0,-0.2023
13/02/2018,-0.5267,0.0,-0.8934
14/02/2018,-0.9967,-0.4391,-0.6103
15/02/2018,-0.9367,0.659,0.9219
16/02/2018,-0.974,-0.504,-0.25
17/02/2018,-0.9349,0.4215,0.0
18/02/2018,-0.9847,0.0,0.0
19/02/2018,-0.9325,-0.6705,-0.3919
20/02/2018,-0.886,-0.34,0.8979
21/02/2018,-0.9699,-0.09,-0.4019
22/02/2018,-0.4215,-0.5207,-0.9001
23/02/2018,-0.9952,-0.34,0.4019
24/02/2018,-0.9721,0.4588,0.1779
25/02/2018,0.9786,0.0,0.0
26/02/2018,0.9857,-0.765,0.5719
27/02/2018,0.2148,0.891,0.0
28/02/2018,-0.9907,0.25,-0.7269
01/03/2018,-0.9862,-0.4939,-0.8316
02/03/2018,-0.8998,0.0,0.1043
03/03/2018,-0.9813,0.25,-0.8555
04/03/2018,-0.9646,0.0,0.0
05/03/2018,-0.9938,-0.5859,0.5478
06/03/2018,-0.9022,-0.5267,0.4318
07/03/2018,0.8957,-0.7769,-0.4588
08/03/2018,-0.9169,0.0,0.0516
09/03/2018,-0.9933,0.0772,0.2448
10/03/2018,0.8271,0.0,0.0
11/03/2018,0.7717,0.0,0.0
12/03/2018,0.6908,0.0,0.9116
13/03/2018,-0.5423,0.6124,0.2023
14/03/2018,-0.9825,-0.5994,-0.4951
15/03/2018,0.9634,-0.3612,0.6362
16/03/2018,0.8834,0.6597,0.802
17/03/2018,-0.5267,0.0,0.0
18/03/2018,-0.944,0.0,0.0
19/03/2018,-0.5813,0.0,-0.8271
20/03/2018,0.9481,0.0,0.2263
21/03/2018,-0.9528,0.6176,0.6124
22/03/2018,-0.1779,0.0,-0.9164
23/03/2018,0.3818,0.0,-0.93
24/03/2018,0.1779,0.2732,0.0
25/03/2018,-0.4404,0.0,0.0
26/03/2018,-0.9878,0.25,0.079
27/03/2018,-0.8611,-0.6249,0.9472
28/03/2018,-0.1531,-0.926,-0.4606
29/03/2018,-0.7319,-0.7351,-0.9364
30/03/2018,0.9464,0.0,0.765
31/03/2018,-0.8689,0.0,0.0
01/04/2018,-0.9022,0.0,0.0
02/04/2018,-0.9844,0.1531,-0.2617
03/04/2018,0.5267,-0.8176,-0.624
04/04/2018,-0.7184,-0.7269,-0.9808
05/04/2018,-0.9428,-0.6059,-0.9378
06/04/2018,-0.9371,-0.4939,-0.5994
07/04/2018,0.875,0.0,0.0
08/04/2018,-0.5574,0.0,0.0
09/04/2018,-0.9976,-0.4019,-0.0258
10/04/2018,-0.8834,-0.9161,-0.9628
11/04/2018,-0.7845,-0.296,0.2263
12/04/2018,-0.9923,0.0,0.743
13/04/2018,-0.8276,-0.296,0.0
14/04/2018,-0.8402,0.0,0.0
15/04/2018,0.8462,0.0,0.0
16/04/2018,-0.9712,-0.0516,-0.5106
17/04/2018,0.9447,0.7906,0.8442
18/04/2018,-0.9716,0.6637,0.8268
19/04/2018,0.7421,0.0,0.6808
20/04/2018,-0.7048,0.1027,0.4077
21/04/2018,-0.8126,0.0,0.0
22/04/2018,-0.5106,0.0,0.0
23/04/2018,0.9826,-0.0258,0.0258
24/04/2018,-0.8176,0.8655,0.4289
25/04/2018,-0.9709,-0.8591,0.0701
26/04/2018,0.9898,-0.6238,-0.34
27/04/2018,-0.7929,0.8948,0.34
28/04/2018,-0.9498,0.0,0.0
29/04/2018,0.9618,0.0,0.5423
30/04/2018,0.9118,-0.3182,0.8126
01/05/2018,-0.9474,0.5574,0.5423
02/05/2018,0.0387,0.25,-0.8316
03/05/2018,0.9943,0.1531,0.296
04/05/2018,-0.993,-0.2617,0.1027
05/05/2018,0.9552,-0.1531,0.0
07/05/2018,0.8243,0.9201,-0.2846
08/05/2018,0.7013,0.0,0.796
09/05/2018,0.9668,0.7351,0.296
10/05/2018,-0.9628,0.7075,0.1027
11/05/2018,-0.962,-0.2263,0.886
12/05/2018,-0.986,0.2263,0.0
13/05/2018,-0.8689,0.0,0.0
14/05/2018,-0.2023,-0.6705,0.2023
15/05/2018,0.3695,0.0,0.6597
16/05/2018,0.897,0.0,0.0
17/05/2018,0.9517,0.25,-0.0516
18/05/2018,0.9234,-0.34,-0.4767
20/05/2018,-0.0895,0.0,0.0
21/05/2018,0.8843,0.0971,0.6096
22/05/2018,0.9903,-0.5574,0.2263
23/05/2018,0.6981,0.6124,0.0516
24/05/2018,0.7693,-0.7391,-0.6124
25/05/2018,0.9153,-0.1779,0.8507
26/05/2018,0.5106,0.0,0.0
27/05/2018,0.8126,-0.4019,0.0
28/05/2018,0.1531,0.0,0.0
29/05/2018,-0.9916,0.0,-0.34
30/05/2018,-0.9774,-0.7184,-0.7396
31/05/2018,0.9716,0.1208,-0.6329
01/06/2018,-0.9819,-0.7845,0.0
02/06/2018,-0.9313,0.0,0.0
03/06/2018,-0.5362,0.0,0.0
04/06/2018,-0.977,0.0,0.5473
05/06/2018,-0.9766,-0.2182,-0.5423
06/06/2018,-0.9648,0.0,0.2263
07/06/2018,-0.7351,0.822,-0.4445
08/06/2018,0.6249,0.4215,-0.8402
09/06/2018,0.5423,0.0,0.0
10/06/2018,0.1027,0.0,0.0
11/06/2018,-0.9365,0.2716,-0.4767
12/06/2018,0.9211,-0.1027,0.9232
13/06/2018,0.9651,0.5859,-0.128
14/06/2018,0.9765,-0.3182,0.0
15/06/2018,0.9356,0.0,-0.4215
16/06/2018,0.3818,0.128,0.0
17/06/2018,-0.9896,0.0,0.0
18/06/2018,-0.9442,0.0,-0.928
19/06/2018,-0.0468,-0.2732,0.069
20/06/2018,0.9603,-0.1531,-0.128
21/06/2018,0.3622,-0.25,-0.4782
22/06/2018,-0.9651,0.0,0.6249
23/06/2018,-0.9081,-0.1774,0.0
24/06/2018,-0.9501,0.0,0.0
25/06/2018,-0.7351,-0.5994,-0.872
26/06/2018,-0.9941,0.5983,0.891
27/06/2018,-0.9734,-0.6597,0.2782
28/06/2018,0.959,-0.6908,-0.7003
29/06/2018,-0.9729,0.0,-0.6367
30/06/2018,0.4215,0.0,0.0
19/05/2018,0.0,0.0,0.0
