date,WSJ,Fortune,CNBC,Adj Close
2017-12-01,-0.0082,-0.4215,-0.8126,47.75864
2017-12-04,0.7993,0.5859,0.4767,48.665085
2017-12-05,-0.7342,-0.3182,-0.6597,48.216736
2017-12-06,-0.4956,0.0772,0.2732,48.353188
2017-12-07,0.3612,0.9943,0.4019,49.591015
2017-12-08,-0.9655,0.0,0.0,49.727467
2017-12-11,-0.2937,0.0,-0.6258,50.00037
2017-12-12,-0.991,-0.8126,0.5994,49.191406
2017-12-13,-0.6705,0.8591,0.7717,48.821018
2017-12-14,0.8797,-0.34,0.4215,48.937988
2017-12-15,-0.7935,-0.765,0.5267,49.766457
2017-12-18,-0.7506,-0.34,0.2582,50.185558
2017-12-19,-0.9581,0.1027,-0.7814,50.136822
2017-12-20,-0.8277,0.0,0.795,50.604664
2017-12-21,0.2263,0.4939,0.5994,51.452633
2017-12-22,0.9226,-0.0772,0.6444,51.257694
2017-12-26,-0.9109,0.0,-0.7096,51.511105
2017-12-27,0.25,0.2263,0.802,51.072502
2017-12-28,0.9472,-0.4404,0.128,51.130981
2017-12-29,-0.9806,0.0,0.6597,50.71188
2018-01-02,0.7458,-0.743,-0.1779,51.64756
2018-01-03,-0.981,0.5267,0.6597,51.014019
2018-01-04,0.1119,0.0,0.8271,51.335663
2018-01-05,-0.9946,-0.7845,-0.128,51.316177
2018-01-08,0.0516,0.4939,0.1154,50.809349
2018-01-09,0.8481,-0.765,0.0,50.760616
2018-01-10,0.3612,0.7089,0.0857,52.417542
2018-01-11,-0.8625,-0.4215,-0.8834,54.990665
2018-01-12,-0.7319,0.5423,0.8839,56.988728
2018-01-16,-0.9388,-0.5106,0.7615,56.511147
2018-01-17,0.8979,-0.6908,-0.8238,56.686581
2018-01-18,-0.9902,0.3818,0.5851,56.862026
2018-01-19,-0.9638,0.0,0.8834,56.589115
2018-01-22,-0.9891,0.5994,0.5719,56.628098
2018-01-23,0.7184,-0.1779,0.5413,56.81329
2018-01-24,0.9734,0.4576,-0.25,53.401955
2018-01-25,0.9908,0.2023,0.0026,51.706039
2018-01-26,0.9396,0.0,0.1531,51.725533
2018-01-29,0.6373,-0.5106,-0.8902,51.345409
2018-01-30,0.9892,-0.5267,-0.7902,51.257694
2018-01-31,-0.6072,-0.6597,0.1531,52.943867
2018-02-01,0.9791,-0.2263,0.296,52.515011
2018-02-02,0.6705,0.0772,-0.7572,50.780106
2018-02-05,0.3612,-0.5661,0.5374,48.592651
2018-02-06,-0.9604,-0.6808,0.8813,49.979336
2018-02-07,0.9815,-0.1027,0.0476,50.19418
2018-02-08,0.9918,-0.1901,0.6843,47.459869
2018-02-09,-0.975,-0.6908,-0.9061,47.225494
2018-02-12,-0.8271,0.0,-0.2023,48.914917
2018-02-13,-0.5267,0.0,-0.8934,49.676613
2018-02-14,-0.9967,-0.4391,-0.6103,49.871922
2018-02-15,-0.9367,0.659,0.9219,50.457848
2018-02-16,-0.974,-0.504,-0.25,50.369961
2018-02-20,-0.886,-0.34,0.8979,50.506676
2018-02-21,-0.9699,-0.09,-0.4019,51.541805
2018-02-22,-0.4215,-0.5207,-0.9001,51.737114
2018-02-23,-0.9952,-0.34,0.4019,52.137497
2018-02-26,0.9857,-0.765,0.5719,53.709732
2018-02-27,0.2148,0.891,0.0,52.987083
2018-02-28,-0.9907,0.25,-0.7269,52.977325
2018-03-01,-0.9862,-0.4939,-0.8316,52.225384
2018-03-02,-0.8998,0.0,0.1043,51.932426
2018-03-05,-0.9938,-0.5859,0.5478,51.942184
2018-03-06,-0.9022,-0.5267,0.4318,52.313278
2018-03-07,0.8957,-0.7769,-0.4588,52.840611
2018-03-08,-0.9169,0.0,0.0516,53.504654
2018-03-09,-0.9933,0.0772,0.2448,54.754623
2018-03-12,0.6908,0.0,0.9116,55.174541
2018-03-13,-0.5423,0.6124,0.2023,54.910873
2018-03-14,-0.9825,-0.5994,-0.4951,53.983158
2018-03-15,0.9634,-0.3612,0.6362,53.875732
2018-03-16,0.8834,0.6597,0.802,54.100349
2018-03-19,-0.5813,0.0,-0.8271,53.338638
2018-03-20,0.9481,0.0,0.2263,54.022224
2018-03-21,-0.9528,0.6176,0.6124,52.821075
2018-03-22,-0.1779,0.0,-0.9164,51.082832
2018-03-23,0.3818,0.0,-0.93,49.813324
2018-03-26,-0.9878,0.25,0.079,50.643394
2018-03-27,-0.8611,-0.6249,0.9472,49.705914
2018-03-28,-0.1531,-0.926,-0.4606,49.657085
2018-03-29,-0.7319,-0.7351,-0.9364,50.741043
2018-04-02,-0.9844,0.1531,-0.2617,48.612186
2018-04-03,0.5267,-0.8176,-0.624,50.262543
2018-04-04,-0.7184,-0.7269,-0.9808,50.819164
2018-04-05,-0.9428,-0.6059,-0.9378,50.916821
2018-04-06,-0.9371,-0.4939,-0.5994,49.110226
2018-04-09,-0.9976,-0.4019,-0.0258,48.651253
2018-04-10,-0.8834,-0.9161,-0.9628,46.346615
2018-04-11,-0.7845,-0.296,0.2263,44.334938
2018-04-12,-0.9923,0.0,0.743,45.477486
2018-04-13,-0.8276,-0.296,0.0,44.793915
2018-04-16,-0.9712,-0.0516,-0.5106,45.311478
2018-04-17,0.9447,0.7906,0.8442,44.676723
2018-04-18,-0.9716,0.6637,0.8268,46.639572
2018-04-19,0.7421,0.0,0.6808,45.78022
2018-04-20,-0.7048,0.1027,0.4077,45.68256
2018-04-23,0.9826,-0.0258,0.0258,45.584911
2018-04-24,-0.8176,0.8655,0.4289,44.618134
2018-04-25,-0.9709,-0.8591,0.0701,44.188457
2018-04-26,0.9898,-0.6238,-0.34,41.376019
2018-04-27,-0.7929,0.8948,0.34,42.381855
2018-04-30,0.9118,-0.3182,0.8126,41.922886
2018-05-01,-0.9474,0.5574,0.5423,42.342796
2018-05-02,0.0387,0.25,-0.8316,41.249069
2018-05-03,0.9943,0.1531,0.296,41.122116
2018-05-04,-0.993,-0.2617,0.1027,41.85453
2018-05-07,0.8243,0.9201,-0.2846,41.541298
2018-05-08,0.7013,0.0,0.796,42.089443
2018-05-09,0.9668,0.7351,0.296,40.621212
2018-05-10,-0.9628,0.7075,0.1027,41.14978
2018-05-11,-0.962,-0.2263,0.886,41.697914
2018-05-14,-0.2023,-0.6705,0.2023,41.560875
2018-05-15,0.3695,0.0,0.6597,42.275421
2018-05-16,0.897,0.0,0.0,43.127003
2018-05-17,0.9517,0.25,-0.0516,42.706104
2018-05-18,0.9234,-0.34,-0.4767,42.461399
2018-05-21,0.8843,0.0971,0.6096,43.342339
2018-05-22,0.9903,-0.5574,0.2263,41.971981
2018-05-23,0.6981,0.6124,0.0516,41.893681
2018-05-24,0.7693,-0.7391,-0.6124,42.637585
2018-05-25,0.9153,-0.1779,0.8507,43.959
2018-05-29,-0.9916,0.0,-0.34,42.66695
2018-05-30,-0.9774,-0.7184,-0.7396,42.383091
2018-05-31,0.9716,0.1208,-0.6329,42.618011
2018-06-01,-0.9819,-0.7845,0.0,43.068272
2018-06-04,-0.977,0.0,0.5473,43.910057
2018-06-05,-0.9766,-0.2182,-0.5423,43.244453
2018-06-06,-0.9648,0.0,0.2263,43.254246
2018-06-07,-0.7351,0.822,-0.4445,42.911659
2018-06-08,0.6249,0.4215,-0.8402,42.197117
2018-06-11,-0.9365,0.2716,-0.4767,43.22488
2018-06-12,0.9211,-0.1027,0.9232,42.490757
2018-06-13,0.9651,0.5859,-0.128,42.011135
2018-06-14,0.9765,-0.3182,0.0,42.167747
2018-06-15,0.9356,0.0,-0.4215,41.864315
2018-06-18,-0.9442,0.0,-0.928,41.541298
2018-06-19,-0.0468,-0.2732,0.069,40.630993
2018-06-20,0.9603,-0.1531,-0.128,41.139984
2018-06-21,0.3622,-0.25,-0.4782,40.61142
2018-06-22,-0.9651,0.0,0.6249,40.47438
2018-06-25,-0.7351,-0.5994,-0.872,38.839748
2018-06-26,-0.9941,0.5983,0.891,38.262238
2018-06-27,-0.9734,-0.6597,0.2782,37.449818
2018-06-28,0.959,-0.6908,-0.7003,37.391094
2018-06-29,-0.9729,0.0,-0.6367,37.156166
